Station Index,Date,temp-max,temp-min,temp-avg,wind-max,wind-min,wind-avg,rain-max,rain-min,rain-avg,rh-max,rh-min,rh-avg,Temp-max-lag1,Temp-min-lag1,Temp-avg-lag1,Wind-max-lag1,Wind-min-lag1,Wind-avg-lag1,Rain-max-lag1,Rain-min-lag1,Rain-avg-lag1,Rh-max-lag1,Rh-min-lag1,Rh-avg-lag1,Temp-max-lag2,Temp-min-lag2,Temp-avg-lag2,Wind-max-lag2,Wind-min-lag2,Wind-avg-lag2,Rain-max-lag2,Rain-min-lag2,Rain-avg-lag2,Rh-max-lag2,Rh-min-lag2,Rh-avg-lag2
42807,01-03-2019,26.5,17.6,21.3,9,0,2.958333333,14.3,0,1.4,87,38,61.625,23.5,18.9,20.7,12,0,3.208333333,3.2,0,0.4,96,72,86.70833333,27.1,17.6,21.2,14,0,5.708333333,0,0,0,96,73,89.08333333
42807,02-03-2019,27.6,16,20.8,8,0,1.75,19.2,0,2,89,32,59.16666667,26.5,17.6,21.3,9,0,2.958333333,14.3,0,1.4,87,38,61.625,23.5,18.9,20.7,12,0,3.208333333,3.2,0,0.4,96,72,86.70833333
42807,03-03-2019,29,16.1,22.1,5,0,1.041666667,19.2,0,2,91,39,65.29166667,27.6,16,20.8,8,0,1.75,19.2,0,2,89,32,59.16666667,26.5,17.6,21.3,9,0,2.958333333,14.3,0,1.4,87,38,61.625
42807,04-03-2019,28.2,20.8,24.2,8,0,2.375,0,0,0,93,69,83.58333333,29,16.1,22.1,5,0,1.041666667,19.2,0,2,91,39,65.29166667,27.6,16,20.8,8,0,1.75,19.2,0,2,89,32,59.16666667
42807,05-03-2019,28.3,21.3,24.7,8,0,1.666666667,0,0,0,91,63,81.75,28.2,20.8,24.2,8,0,2.375,0,0,0,93,69,83.58333333,29,16.1,22.1,5,0,1.041666667,19.2,0,2,91,39,65.29166667
42807,06-03-2019,29.6,22.3,25,8,0,1.541666667,0,0,0,91,45,74.875,28.3,21.3,24.7,8,0,1.666666667,0,0,0,91,63,81.75,28.2,20.8,24.2,8,0,2.375,0,0,0,93,69,83.58333333
42807,07-03-2019,28.7,21,23.9,9,0,3.458333333,0,0,0,89,36,59.75,29.6,22.3,25,8,0,1.541666667,0,0,0,91,45,74.875,28.3,21.3,24.7,8,0,1.666666667,0,0,0,91,63,81.75
42807,08-03-2019,30.2,18.6,24,6,0,2.125,7,0,0.4,87,28,56.66666667,28.7,21,23.9,9,0,3.458333333,0,0,0,89,36,59.75,29.6,22.3,25,8,0,1.541666667,0,0,0,91,45,74.875
42807,09-03-2019,31.7,19.3,25.2,6,0,1.166666667,0,0,0,90,22,55.625,30.2,18.6,24,6,0,2.125,7,0,0.4,87,28,56.66666667,28.7,21,23.9,9,0,3.458333333,0,0,0,89,36,59.75
42807,10-03-2019,30.4,23,26.5,9,0,5.166666667,0,0,0,94,66,81.91666667,31.7,19.3,25.2,6,0,1.166666667,0,0,0,90,22,55.625,30.2,18.6,24,6,0,2.125,7,0,0.4,87,28,56.66666667
42807,11-03-2019,32.6,24.8,28,2,0,0.208333333,0,0,0,90,52,75.91666667,30.4,23,26.5,9,0,5.166666667,0,0,0,94,66,81.91666667,31.7,19.3,25.2,6,0,1.166666667,0,0,0,90,22,55.625
42807,12-03-2019,33.6,0,24.1,8,0,3.125,0,0,0,96,48,77.52380952,32.6,24.8,28,2,0,0.208333333,0,0,0,90,52,75.91666667,30.4,23,26.5,9,0,5.166666667,0,0,0,94,66,81.91666667
42807,13-03-2019,34.2,25,28.9,10,0,2.416666667,0,0,0,90,45,73.83333333,33.6,0,24.1,8,0,3.125,0,0,0,96,48,77.52380952,32.6,24.8,28,2,0,0.208333333,0,0,0,90,52,75.91666667
42807,14-03-2019,34.6,23.3,29.2,14,0,2.25,0,0,0,92,25,64.95833333,34.2,25,28.9,10,0,2.416666667,0,0,0,90,45,73.83333333,33.6,0,24.1,8,0,3.125,0,0,0,96,48,77.52380952
42807,15-03-2019,33.7,23.2,26.7,21,0,3.208333333,0,0,0,92,40,71.375,34.6,23.3,29.2,14,0,2.25,0,0,0,92,25,64.95833333,34.2,25,28.9,10,0,2.416666667,0,0,0,90,45,73.83333333
42807,16-03-2019,32.4,22.5,26.2,9,0,3.458333333,0,0,0,86,38,67.375,33.7,23.2,26.7,21,0,3.208333333,0,0,0,92,40,71.375,34.6,23.3,29.2,14,0,2.25,0,0,0,92,25,64.95833333
42807,17-03-2019,33.4,19.2,26.5,7,0,1.541666667,1.6,0,0.1,92,47,72.25,32.4,22.5,26.2,9,0,3.458333333,0,0,0,86,38,67.375,33.7,23.2,26.7,21,0,3.208333333,0,0,0,92,40,71.375
42807,18-03-2019,30.6,19.7,24.5,16,0,2.833333333,3.5,0,0.2,86,38,70.08333333,33.4,19.2,26.5,7,0,1.541666667,1.6,0,0.1,92,47,72.25,32.4,22.5,26.2,9,0,3.458333333,0,0,0,86,38,67.375
42807,19-03-2019,32.4,23.1,26.7,7,0,2.541666667,0.2,0,0,90,41,68.75,30.6,19.7,24.5,16,0,2.833333333,3.5,0,0.2,86,38,70.08333333,33.4,19.2,26.5,7,0,1.541666667,1.6,0,0.1,92,47,72.25
